code_article,libelle,famille,unite,prix_standard,statut,fournisseur_principal
ART001,Linteau préfabriqué 1m20,BETON,L,171.59,INACTIF,FOUR007
ART002,Gaine technique 3m,ARMATURE,L,238.19,ACTIF,FOUR018
ART003,Escalier droit 12 marches,BETON,L,432.33,INACTIF,FOUR013
ART004,Dalle pleine 20cm,ARMATURE,L,80.6,INACTIF,FOUR017
ART005,Prémur 15cm,ISOLATION,M,101.27,INACTIF,FOUR012
ART006,Gaine technique 3m,BETON,M,224.94,ACTIF,FOUR001
ART007,Poteau carré 25x25,ARMATURE,L,246.55,INACTIF,FOUR008
ART008,Plaque de sol 40x40,ISOLATION,L,45.07,INACTIF,FOUR017
ART009,Planche de rive 3m,ISOLATION,KG,342.64,ACTIF,FOUR001
ART010,Poutre précontrainte T160,ISOLATION,M,79.1,ACTIF,FOUR018
ART011,Planche de rive 3m,ARMATURE,L,45.54,ACTIF,FOUR002
ART012,Poteau carré 25x25,ISOLATION,L,443.02,INACTIF,FOUR013
ART013,Linteau préfabriqué 1m20,ISOLATION,M,111.51,ACTIF,FOUR001
ART014,Poutre précontrainte T160,BETON,KG,318.28,ACTIF,FOUR009
ART015,Poteau carré 25x25,ARMATURE,L,135.32,ACTIF,FOUR003
ART016,Gaine technique 3m,ISOLATION,M,49.01,INACTIF,FOUR012
ART017,Voile béton 18cm,ISOLATION,M,246.27,ACTIF,FOUR009
ART018,Poteau carré 25x25,ISOLATION,KG,186.45,ACTIF,FOUR008
ART019,Dalle pleine 20cm,ISOLATION,KG,68.8,INACTIF,FOUR009
ART020,Linteau préfabriqué 1m20,BETON,L,72.83,INACTIF,FOUR015
ART021,Poteau carré 25x25,ARMATURE,L,286.39,ACTIF,FOUR005
ART022,Prémur 15cm,BETON,L,364.91,INACTIF,FOUR002
ART023,Plaque de sol 40x40,BETON,L,170.88,ACTIF,FOUR011
ART024,Dalle pleine 20cm,ARMATURE,L,248.96,INACTIF,FOUR008
ART025,Prémur 15cm,ARMATURE,KG,295.38,INACTIF,FOUR012
ART026,Linteau préfabriqué 1m20,ISOLATION,L,54.92,ACTIF,FOUR006
ART027,Plaque de sol 40x40,BETON,L,197.75,ACTIF,FOUR001
ART028,Escalier droit 12 marches,ISOLATION,L,73.18,INACTIF,FOUR015
ART029,Gaine technique 3m,ARMATURE,M,346.4,INACTIF,FOUR008
ART030,Voile béton 18cm,ARMATURE,M,33.98,ACTIF,FOUR010
ART031,Voile béton 18cm,ISOLATION,KG,280.01,INACTIF,FOUR012
ART032,Poutre précontrainte T160,BETON,KG,197.08,ACTIF,FOUR016
ART033,Dalle pleine 20cm,ISOLATION,KG,135.96,INACTIF,FOUR010
ART034,Poteau carré 25x25,ARMATURE,M,451.43,ACTIF,FOUR010
ART035,Poteau carré 25x25,ARMATURE,KG,311.99,INACTIF,FOUR008
ART036,Voile béton 18cm,BETON,L,458.76,INACTIF,FOUR010
ART037,Planche de rive 3m,ARMATURE,KG,416.41,INACTIF,FOUR005
ART038,Escalier droit 12 marches,ARMATURE,L,323.73,ACTIF,FOUR002
ART039,Escalier droit 12 marches,BETON,L,55.37,INACTIF,FOUR002
ART040,Prémur 15cm,ARMATURE,L,317.45,ACTIF,FOUR012
