numero_commande,code_article,quantite_commande,prix_vente,date_commande
COM001,ART077,89,291.91,2024-10-11
COM002,ART030,288,451.74,2025-04-16
COM003,ART064,98,468.84,2025-09-11
COM004,ART024,118,141.61,2025-09-13
COM005,ART084,267,42.79,2025-04-07
COM006,ART053,407,172.89,2025-07-03
COM007,ART048,436,474.76,2025-11-18
COM008,ART049,328,447.33,2026-03-05
COM009,ART056,308,315.18,2024-07-13
COM010,ART035,47,437.96,2024-10-10
COM011,ART096,411,100.56,2025-03-17
COM012,ART019,325,16.05,2025-04-07
COM013,ART013,456,37.17,2025-12-23
COM014,ART078,105,275.97,2025-02-17
COM015,ART074,367,307.09,2025-06-14
COM016,ART039,335,111.2,2024-11-08
COM017,ART016,170,253.1,2025-08-12
COM018,ART021,374,427.99,2024-11-29
COM019,ART017,95,144.81,2024-10-07
COM020,ART077,110,432.86,2025-02-23
COM021,ART100,243,93.33,2026-03-27
COM022,ART013,476,55.0,2025-11-20
COM023,ART017,158,388.59,2024-09-10
COM024,ART090,71,304.59,2026-03-14
COM025,ART072,107,353.14,2024-11-28
COM026,ART006,406,479.66,2026-04-11
COM027,ART031,12,298.38,2025-03-11
COM028,ART005,455,147.58,2025-04-04
COM029,ART071,88,239.28,2026-01-16
COM030,ART071,152,467.45,2026-05-15
COM031,ART047,272,356.99,2025-07-02
COM032,ART053,260,336.16,2025-12-30
COM033,ART049,285,475.64,2026-03-07
COM034,ART065,379,123.28,2024-09-14
COM035,ART026,375,94.51,2024-07-07
COM036,ART079,232,398.0,2025-06-30
COM037,ART059,56,119.5,2025-07-15
COM038,ART039,130,200.68,2025-06-28
COM039,ART077,380,486.77,2025-11-22
COM040,ART027,322,282.62,2024-12-14
COM041,ART036,28,230.77,2026-02-14
COM042,ART021,177,206.65,2024-06-08
COM043,ART045,181,183.45,2026-01-22
COM044,ART040,198,384.23,2025-12-23
COM045,ART080,477,416.74,2026-04-23
COM046,ART038,344,239.37,2026-05-01
COM047,ART092,412,458.31,2025-05-22
COM048,ART021,182,452.61,2026-01-13
COM049,ART086,403,263.41,2026-04-06
COM050,ART022,310,439.92,2025-12-10
COM051,ART048,188,112.16,2025-12-16
COM052,ART087,277,371.81,2024-11-24
COM053,ART048,275,77.01,2024-06-20
COM054,ART037,232,409.32,2025-10-27
COM055,ART004,373,228.3,2025-08-15
COM056,ART013,37,201.87,2025-06-01
COM057,ART019,127,40.68,2024-09-29
COM058,ART059,158,103.17,2025-03-05
COM059,ART013,362,153.61,2025-10-24
COM060,ART018,315,27.63,2025-12-14
COM061,ART051,444,322.47,2024-12-03
COM062,ART007,347,478.77,2025-03-27
COM063,ART061,104,277.11,2024-09-02
COM064,ART001,425,92.43,2025-06-01
COM065,ART097,369,243.07,2026-05-27
COM066,ART056,258,224.99,2024-11-02
COM067,ART056,403,325.93,2024-09-28
COM068,ART065,491,137.27,2025-06-15
COM069,ART096,72,423.64,2026-05-06
COM070,ART034,194,330.0,2024-08-02
