numero_commande,code_article,quantite_commande,prix_vente,date_commande
COM001,ART003,211,398.62,2025-04-20
COM002,ART028,346,368.55,2026-01-31
COM003,ART033,125,98.81,2026-05-01
COM004,ART092,486,279.39,2026-01-04
COM005,ART080,116,81.91,2025-08-13
COM006,ART061,218,220.14,2026-05-16
COM007,ART050,349,-150.07,2025-01-22
COM008,ART069,313,,2026-04-04
COM009,ART037,61,449.69,2026-03-07
COM010,ART073,470,445.46,2026-01-19
COM011,ART073,256,353.21,2026-05-14
COM012,ART043,99,301.26,2025-02-22
COM013,ART054,208,161.83,2025-08-11
COM014,ART016,294,288.85,2025-08-29
COM015,ART043,301,496.48,2024-08-18
COM016,ART011,254,162.08,2026-03-09
COM017,ART007,267,189.75,2025-04-07
COM018,ART074,201,463.09,2025-04-20
COM019,ART020,455,264.21,2025-10-02
COM020,ART046,70,296.1,2025-04-13
COM021,ART023,258,349.4,2025-10-14
COM022,ART016,111,389.07,2025-11-21
COM023,ART073,454,12.99,2025-06-13
COM024,ART094,196,271.87,2025-09-22
COM025,ART005,371,115.66,2025-03-30
COM026,ART082,78,296.22,2021-06-15 00:00:00
COM027,ART046,34,55.21,2024-11-01
COM028,ART058,266,0.0,2024-11-06
COM029,ART004,39,121.7,2021-06-15 00:00:00
COM030,ART032,173,333.67,2025-06-06
COM031,ART007,341,129.34,2024-06-23
COM032,ART075,237,167.92,2025-08-19
COM033,ART063,124,,2025-11-17
COM034,ART052,53,463.54,2026-02-02
COM035,ART086,358,489.2,2024-07-12
COM036,ART098,123,446.24,2024-11-29
COM037,ART050,70,29.62,2025-12-18
COM038,ART040,188,,2025-01-19
COM039,ART067,244,63.8,2026-02-19
COM040,ART093,236,351.68,2024-09-13
COM041,ART005,414,280.81,2025-01-24
COM042,ART073,352,281.02,2025-10-17
COM043,ART011,267,332.74,2025-06-10
COM044,ART073,342,481.51,2025-01-22
COM045,ART100,48,361.4,2025-07-27
COM046,ART007,287,112.43,2026-02-20
COM047,ART098,340,348.67,2026-03-08
COM048,ART095,320,314.44,2025-05-16
COM049,ART038,135,260.8,2026-02-19
COM050,ART012,155,61.41,2026-01-12
COM051,ART093,77,452.03,2025-11-08
COM052,ART033,443,275.79,2025-06-04
COM053,ART002,418,442.88,2025-07-03
COM054,ART078,129,34.49,2025-11-02
COM055,ART094,217,380.21,2024-12-08
COM056,ART044,287,73.16,2026-05-22
COM057,ART060,383,308.34,2024-07-23
COM058,ART093,86,,2026-01-01
COM059,ART081,75,422.38,2026-04-26
COM060,ART042,181,316.34,2025-03-20
COM061,ART056,48,29.68,2026-04-19
COM062,ART038,84,180.91,2026-02-03
COM063,ART036,370,13.5,2024-08-20
COM064,ART019,290,486.66,2024-09-17
COM065,ART009,68,21.25,2025-05-27
COM066,ART100,78,185.77,2026-05-28
COM067,ART045,370,371.08,2025-02-27
COM068,ART064,200,210.74,2025-01-19
COM069,ART099,49,271.35,2025-05-05
COM070,ART098,167,427.51,2026-03-10
COM071,ART055,306,264.83,2025-03-02
COM072,ART034,158,216.01,2025-04-07
COM073,ART092,87,114.24,2026-03-20
COM074,ART059,320,265.06,2026-02-14
COM075,ART075,442,446.72,2026-04-01
COM076,ART028,479,382.07,2024-09-28
COM077,ART009,264,499.53,2024-09-04
COM078,ART077,46,294.67,2025-06-17
COM079,ART041,252,236.77,2026-03-14
COM080,ART099,421,271.97,2024-09-16
COM081,ART080,486,298.02,2026-01-12
COM082,ART071,159,230.17,2026-02-27
COM083,ART021,387,131.4,2025-11-03
COM084,ART012,315,86.43,2025-06-10
COM085,ART073,65,428.47,2024-10-12
COM086,ART049,481,177.63,2024-11-20
COM087,ART050,64,218.54,2025-10-20
COM088,ART072,280,448.66,2027-01-01 00:00:00
COM089,ART097,87,372.47,2026-02-26
COM090,ART050,99,249.7,2024-10-26
COM091,ART099,499,320.16,2026-03-23
COM092,ART088,130,40.89,2025-11-09
COM093,ART099,262,464.04,2024-12-19
COM094,ART096,156,480.52,2024-06-28
COM095,ART096,320,107.51,2024-12-31
COM096,ART093,27,193.35,2024-06-09
COM097,ART046,153,196.57,2027-01-01 00:00:00
COM098,ART069,39,-374.32,2025-06-07
COM099,ART071,145,0.0,2026-02-01
COM100,ART074,356,484.26,2025-04-18
COM101,ART090,227,408.27,2025-08-31
COM102,ART014,149,456.18,2026-05-15
COM103,ART004,237,0.0,2025-10-01
COM104,ART074,178,253.96,2025-05-11
COM105,ART094,17,309.45,2026-01-19
COM106,ART091,347,332.61,2025-02-04
COM107,ART055,72,71.35,2025-04-29
COM108,ART008,388,281.57,2025-12-28
COM109,ART030,130,467.26,2025-04-13
COM110,ART093,293,338.14,2025-10-10
COM111,ART054,490,170.68,2025-02-04
COM112,ART073,323,372.11,2026-03-07
COM113,ART017,19,91.81,2025-10-22
COM114,ART034,434,353.45,2024-09-02
COM115,ART019,152,84.61,2026-02-08
COM116,ART002,157,,2026-01-12
COM117,ART099,480,207.82,2025-12-28
COM118,ART058,60,47.04,2025-07-08
COM119,ART021,323,468.94,2024-10-19
COM120,ART041,418,304.72,2025-02-12
COM121,ART085,28,58.16,2025-02-17
COM122,ART008,491,307.13,2024-08-24
COM123,ART097,296,160.07,2024-12-11
COM124,ART021,65,,2025-03-24
COM125,ART014,55,196.19,2025-11-13
COM126,ART098,372,65.08,2024-08-02
COM127,ART093,278,417.56,2026-01-03
COM128,ART073,268,45.16,2026-02-20
COM129,ART035,453,487.3,2025-02-12
COM130,ART004,234,305.8,2025-10-12
COM131,ART085,89,291.17,2026-03-18
COM132,ART078,171,376.79,2024-12-06
COM133,ART063,446,329.52,2025-05-26
COM134,ART039,288,244.08,2024-08-23
COM135,ART034,32,483.83,2024-11-15
COM136,ART057,20,299.54,2024-08-18
COM137,ART087,11,100.17,2026-02-09
COM138,ART034,354,431.61,2025-10-26
COM139,ART097,317,477.92,2024-07-27
COM140,ART088,255,-472.53,2026-04-24
COM141,ART021,23,328.75,2025-12-14
COM142,ART074,250,0.0,2024-08-09
COM143,ART026,326,85.19,2026-01-10
COM144,ART022,439,0.0,2025-01-18
COM145,ART030,266,375.94,2025-06-15
COM146,ART073,363,,2026-05-10
COM147,ART095,189,361.42,2025-12-21
COM148,ART070,354,424.31,2025-06-24
COM149,ART018,124,252.66,2025-08-16
COM150,ART081,133,489.99,2025-07-08
COM151,ART016,60,313.65,2025-09-24
COM152,ART017,208,34.59,2024-09-16
COM153,ART026,75,498.55,2021-06-15 00:00:00
COM154,ART042,291,88.62,2026-02-08
COM155,ART093,237,191.6,2025-06-29
COM156,ART013,137,114.18,2025-06-10
COM157,ART099,239,350.95,2024-09-29
COM158,ART089,144,401.0,2024-08-08
COM159,ART070,209,438.16,2025-02-13
COM160,ART057,66,384.82,2025-08-13
COM161,ART012,424,106.21,2025-11-19
COM162,ART066,492,278.15,2025-04-18
COM163,ART084,495,179.58,2025-05-10
COM164,ART077,61,152.42,2025-01-02
COM165,ART065,302,49.5,2025-03-04
COM166,ART012,454,469.51,2026-05-26
COM167,ART005,450,61.36,2025-08-02
COM168,ART011,460,292.41,2025-12-05
COM169,ART048,458,54.63,2026-01-08
COM170,ART082,112,469.53,2025-07-31
COM171,ART053,358,25.51,2025-08-08
COM172,ART054,252,248.01,2025-10-23
COM173,ART033,290,,2026-04-07
COM174,ART028,194,249.84,2025-12-24
COM175,ART068,299,245.73,2027-01-01 00:00:00
COM176,ART052,374,233.72,2024-10-26
COM177,ART016,112,202.23,2025-03-30
COM178,ART006,162,70.87,2025-07-28
COM179,ART037,396,348.57,2025-07-10
COM180,ART033,167,164.55,2024-09-02
COM181,ART034,374,380.85,2024-12-15
COM182,ART092,478,140.88,2024-11-25
COM183,ART075,130,372.46,2025-09-25
COM184,ART035,473,319.61,2025-02-06
COM185,ART086,490,317.35,2026-03-07
COM186,ART040,138,37.55,2025-03-20
COM187,ART007,142,203.15,2025-10-25
COM188,ART023,177,44.69,2026-01-09
COM189,ART021,466,396.29,2026-02-15
COM190,ART007,26,363.81,2024-09-03
COM191,ART072,423,494.57,2025-11-15
COM192,ART063,406,-194.42,2024-10-04
COM193,ART077,485,391.13,2026-02-02
COM194,ART085,308,339.6,2024-08-21
COM195,ART035,190,370.52,2025-06-24
COM196,ART037,223,,2025-11-24
COM197,ART068,45,,2026-03-05
COM198,ART006,449,66.68,2025-03-11
COM199,ART091,280,72.27,2025-08-29
COM200,ART067,22,237.51,2025-03-30
COM201,ART066,142,120.88,2024-07-13
COM202,ART058,393,294.47,2026-04-28
COM203,ART020,495,284.74,2024-06-11
COM204,ART006,363,-20.95,2025-06-19
COM205,ART046,190,45.11,2026-01-17
COM206,ART100,60,442.25,2025-05-02
COM207,ART011,443,,2025-06-10
COM208,ART092,151,27.55,2024-06-17
COM209,ART018,54,346.35,2025-08-09
COM210,ART021,54,309.21,2024-10-22
COM211,ART047,186,232.7,2025-03-05
COM212,ART075,127,474.12,2025-10-23
COM213,ART090,356,-397.17,2026-05-20
COM214,ART023,359,104.21,2024-08-14
COM215,ART058,430,274.71,2025-09-26
COM216,ART023,474,333.61,2025-07-08
COM217,ART043,244,273.4,2026-01-22
COM218,ART021,449,162.03,2025-04-10
COM219,ART073,200,473.28,2025-12-18
COM220,ART091,438,432.9,2025-04-26
COM221,ART097,420,450.71,2025-12-30
COM222,ART075,475,40.94,2027-01-01 00:00:00
COM223,ART013,215,101.71,2026-03-17
COM224,ART092,378,474.96,2025-11-24
COM225,ART016,134,329.03,2025-09-23
COM226,ART078,478,270.24,2025-12-11
COM227,ART014,314,156.87,2026-04-07
COM228,ART073,172,14.82,2024-08-25
COM229,ART081,109,92.1,2024-08-23
COM230,ART038,148,137.88,2025-02-10
COM231,ART088,233,173.79,2027-01-01 00:00:00
COM232,ART096,288,226.98,2024-06-22
COM233,ART091,230,80.09,2026-03-17
COM234,ART065,55,329.26,2026-02-18
COM235,ART084,339,310.88,2025-10-15
COM236,ART055,292,298.61,2025-01-05
COM237,ART019,146,235.74,2021-06-15 00:00:00
COM238,ART094,198,443.21,2026-01-11
COM239,ART005,318,280.72,2025-04-12
COM240,ART081,320,89.53,2025-10-17
COM241,ART100,370,152.91,2024-11-07
COM242,ART089,336,323.47,2025-07-10
COM243,ART017,265,261.52,2025-12-06
COM244,ART018,411,168.53,2025-04-27
COM245,ART001,480,135.27,2024-06-08
COM246,ART079,224,234.5,2026-02-02
COM247,ART001,275,344.55,2024-10-27
COM248,ART089,115,374.4,2025-04-19
COM249,ART019,36,172.0,2021-06-15 00:00:00
COM250,ART052,331,160.38,2025-12-19
COM251,ART050,249,316.57,2025-09-18
COM252,ART027,360,282.85,2024-10-14
COM253,ART007,385,218.33,2024-08-31
COM254,ART072,72,450.88,2025-09-24
COM255,ART032,205,226.49,2025-01-18
COM256,ART002,341,149.28,2026-03-17
COM257,ART069,246,484.25,2026-02-20
COM258,ART043,433,431.92,2024-07-10
COM259,ART043,487,133.63,2026-06-05
COM260,ART057,45,427.88,2025-11-29
COM261,ART002,398,,2025-02-26
COM262,ART067,293,227.36,2025-07-29
COM263,ART045,163,470.42,2027-01-01 00:00:00
COM264,ART032,472,113.52,2025-08-31
COM265,ART042,499,90.42,2025-09-22
COM266,ART018,20,,2025-03-03
COM267,ART017,267,197.91,2025-05-31
COM268,ART067,19,438.74,2025-12-29
COM269,ART038,372,443.27,2025-12-17
COM270,ART094,200,,2025-05-02
COM271,ART019,131,107.81,2025-04-15
COM272,ART037,429,328.3,2025-02-20
COM273,ART051,448,301.41,2026-01-10
COM274,ART033,92,208.97,2025-12-05
COM275,ART020,387,43.95,2025-12-15
COM276,ART028,256,,2024-08-29
COM277,ART044,222,275.36,2026-05-04
COM278,ART036,233,288.9,2026-03-17
COM279,ART035,27,51.68,2026-03-28
COM280,ART096,221,53.06,2025-04-14
COM281,ART040,441,140.25,2026-06-05
COM282,ART062,262,437.54,2025-12-05
COM283,ART053,57,268.36,2025-01-05
COM284,ART083,119,434.76,2025-05-13
COM285,ART040,254,466.37,2024-09-12
COM286,ART030,66,243.66,2025-09-13
COM287,ART062,458,127.36,2026-02-17
COM288,ART051,95,175.32,2025-11-18
COM289,ART078,220,216.11,2025-02-28
COM290,ART033,448,438.0,2026-05-22
COM291,ART069,464,409.81,2025-06-04
COM292,ART094,272,206.11,2025-01-16
COM293,ART041,207,-210.45,2025-10-14
COM294,ART024,454,356.64,2024-12-27
COM295,ART011,264,39.01,2026-03-26
COM296,ART067,46,475.66,2026-05-19
COM297,ART071,257,96.43,2024-07-05
COM298,ART078,472,462.4,2025-05-26
COM299,ART073,361,380.45,2024-07-13
COM300,ART060,48,381.77,2024-09-05
COM301,ART076,306,198.57,2025-06-14
COM302,ART044,191,,2025-10-30
COM303,ART053,404,226.71,2025-06-27
COM304,ART066,252,461.8,2025-04-10
COM305,ART077,136,374.59,2021-06-15 00:00:00
COM306,ART006,484,345.77,2024-12-04
COM307,ART077,450,330.31,2024-10-23
COM308,ART099,274,106.97,2025-01-19
COM309,ART041,130,78.95,2025-01-11
COM310,ART026,335,494.62,2026-01-08
COM311,ART067,112,423.1,2025-10-16
COM312,ART050,339,211.1,2025-07-06
COM313,ART091,427,,2027-01-01 00:00:00
COM314,ART100,443,125.18,2025-11-25
COM315,ART023,452,211.09,2024-07-01
COM316,ART009,489,-42.73,2027-01-01 00:00:00
COM317,ART066,23,101.09,2027-01-01 00:00:00
COM318,ART014,337,119.12,2024-10-15
COM319,ART019,280,412.43,2024-09-12
COM320,ART049,220,335.9,2024-07-24
COM321,ART022,415,486.0,2025-02-27
COM322,ART035,342,394.44,2025-02-25
COM323,ART036,159,63.15,2024-11-08
COM324,ART020,463,14.1,2025-12-10
COM325,ART071,26,-472.39,2025-12-07
COM326,ART074,440,439.34,2025-07-29
COM327,ART004,210,110.48,2024-08-03
COM328,ART049,447,354.69,2025-05-19
COM329,ART092,230,458.62,2025-08-28
COM330,ART010,373,329.22,2026-04-18
COM331,ART098,87,386.11,2025-12-24
COM332,ART037,261,116.46,2025-07-26
COM333,ART097,441,104.78,2024-06-27
COM334,ART044,98,109.69,2024-12-17
COM335,ART091,286,273.0,2025-08-30
COM336,ART006,385,460.87,2024-11-10
COM337,ART023,393,172.74,2024-06-09
COM338,ART094,482,205.29,2026-05-13
COM339,ART098,93,271.04,2025-09-03
COM340,ART082,466,156.13,2025-03-14
COM341,ART037,346,65.24,2025-04-18
COM342,ART093,295,117.95,2026-04-01
COM343,ART070,354,-429.23,2026-06-05
COM344,ART051,52,376.59,2024-11-30
