code_article,libelle,famille,unite,prix_standard,statut,fournisseur_principal
ART001,Voile béton 18cm,BETON,KG,412.27,INACTIF,FOUR009
ART002,Poteau carré 25x25,BETON,M,30.4,INACTIF,FOUR019
ART003,Prémur 15cm,ARMATURE,L,267.19,ACTIF,FOUR016
ART004,Prémur 15cm,BETON,M,47.27,INACTIF,FOUR006
ART005,Gaine technique 3m,ARMATURE,L,180.14,INACTIF,FOUR003
ART006,Gaine technique 3m,ISOLATION,M,467.6,ACTIF,FOUR001
ART007,Poutre précontrainte T160,ISOLATION,L,172.3,ACTIF,FOUR003
ART008,Dalle pleine 20cm,ARMATURE,L,334.68,INACTIF,FOUR004
ART009,Planche de rive 3m,ARMATURE,M,168.95,INACTIF,FOUR014
ART010,Poteau carré 25x25,ARMATURE,M,360.56,INACTIF,FOUR015
ART011,Plaque de sol 40x40,ISOLATION,KG,304.69,INACTIF,FOUR007
ART012,Poteau carré 25x25,ISOLATION,L,24.67,INACTIF,FOUR004
ART013,Prémur 15cm,ARMATURE,L,228.68,ACTIF,FOUR015
ART014,Planche de rive 3m,ISOLATION,KG,196.71,ACTIF,FOUR009
ART015,Poutre précontrainte T160,BETON,KG,86.03,INACTIF,FOUR005
ART016,Gaine technique 3m,BETON,KG,45.56,INACTIF,FOUR002
ART017,Poutre précontrainte T160,BETON,KG,434.69,INACTIF,FOUR015
ART018,Voile béton 18cm,BETON,M,379.54,ACTIF,FOUR019
ART019,Plaque de sol 40x40,ISOLATION,M,28.05,INACTIF,FOUR011
ART020,Dalle pleine 20cm,ARMATURE,M,495.29,ACTIF,FOUR005
ART021,Dalle pleine 20cm,ISOLATION,L,63.44,ACTIF,FOUR013
ART022,Dalle pleine 20cm,ISOLATION,KG,107.92,INACTIF,FOUR013
ART023,Poutre précontrainte T160,BETON,L,311.31,INACTIF,FOUR001
ART024,Dalle pleine 20cm,ISOLATION,L,330.67,INACTIF,FOUR018
ART025,Escalier droit 12 marches,ISOLATION,KG,109.92,ACTIF,FOUR009
ART026,Poutre précontrainte T160,ISOLATION,L,80.61,ACTIF,FOUR012
ART027,Poteau carré 25x25,BETON,KG,308.25,ACTIF,FOUR009
ART028,Voile béton 18cm,BETON,M,288.83,INACTIF,FOUR018
ART029,Gaine technique 3m,BETON,L,164.84,ACTIF,FOUR002
ART030,Poteau carré 25x25,ARMATURE,M,208.0,INACTIF,FOUR003
ART031,Poteau carré 25x25,ARMATURE,L,180.37,INACTIF,FOUR005
ART032,Linteau préfabriqué 1m20,BETON,L,210.23,ACTIF,FOUR006
ART033,Plaque de sol 40x40,BETON,M,244.29,INACTIF,FOUR009
ART034,Escalier droit 12 marches,ARMATURE,KG,232.53,ACTIF,FOUR013
ART035,Plaque de sol 40x40,ISOLATION,KG,416.21,ACTIF,FOUR007
ART036,Dalle pleine 20cm,ISOLATION,L,404.94,INACTIF,FOUR012
ART037,Dalle pleine 20cm,ARMATURE,KG,128.66,INACTIF,FOUR001
ART038,Voile béton 18cm,BETON,M,78.11,ACTIF,FOUR008
ART039,Plaque de sol 40x40,BETON,KG,406.23,ACTIF,FOUR001
ART040,Poteau carré 25x25,ARMATURE,KG,485.92,ACTIF,FOUR004
ART041,Planche de rive 3m,BETON,L,457.5,INACTIF,FOUR011
ART042,Plaque de sol 40x40,BETON,M,58.76,INACTIF,FOUR011
