code_article,depot,quantite_stock,date_maj
ART049,DEP_GRIGNY,338,2026-01-20
ART061,DEP_VERNOUILLET,379,2024-10-27
ART001,DEP_LIMAY,442,2026-03-08
ART055,DEP_VERNOUILLET,357,2024-06-16
ART024,DEP_VERNOUILLET,84,2025-11-18
ART060,DEP_NORD,201,2025-12-22
ART075,DEP_GRIGNY,386,2025-09-07
ART005,DEP_NORD,523,2025-04-30
ART053,DEP_NORD,267,2026-03-03
ART011,DEP_CIEL,79,2026-05-31
ART077,DEP_NORD,542,2024-07-05
ART056,DEP_GRAULHET,101,2025-07-02
ART086,DEP_AVIGNON,388,2025-03-21
ART069,DEP_LIMAY,738,2025-11-26
ART094,DEP_CIEL,350,2025-12-13
ART045,DEP_CIEL,685,2026-03-13
ART074,DEP_AVIGNON,557,2025-08-19
ART094,DEP_OUEST,405,2024-08-17
ART050,DEP_CIEL,438,2026-02-25
ART098,DEP_CIEL,53,2025-03-21
ART067,DEP_GRAULHET,75,2025-04-03
ART071,DEP_NORD,473,2025-01-23
ART090,DEP_AVIGNON,461,2024-10-14
ART004,DEP_AVIGNON,579,2025-05-12
ART079,DEP_LIMAY,696,2025-12-07
ART028,DEP_CIEL,348,2025-06-18
ART064,DEP_GRAULHET,432,2026-03-04
ART053,DEP_CIEL,32,2024-08-02
ART074,DEP_CIEL,620,2024-11-15
ART003,DEP_NORD,609,2025-04-23
ART051,DEP_VERNOUILLET,68,2025-06-27
ART033,DEP_OUEST,166,2024-09-26
ART040,DEP_AVIGNON,218,2025-03-03
ART046,DEP_OUEST,699,2024-12-02
ART074,DEP_GRIGNY,224,2024-06-06
ART040,DEP_GRIGNY,711,2024-12-05
ART052,DEP_OUEST,97,2025-12-07
ART055,DEP_CIEL,87,2025-09-22
ART029,DEP_GRAULHET,735,2026-01-08
ART097,DEP_AVIGNON,104,2024-06-23
ART040,DEP_LIMAY,697,2025-05-17
ART009,DEP_GRIGNY,618,2025-02-17
ART089,DEP_CIEL,429,2024-12-20
ART072,DEP_GRAULHET,584,2026-05-19
ART093,DEP_CIEL,588,2024-12-24
ART078,DEP_LIMAY,13,2026-01-15
ART092,DEP_LIMAY,461,2025-05-17
ART076,DEP_AVIGNON,299,2026-03-25
ART056,DEP_VERNOUILLET,361,2025-01-29
ART005,DEP_OUEST,429,2024-10-16
ART003,DEP_OUEST,672,2024-12-12
ART095,DEP_CIEL,683,2026-05-20
ART002,DEP_CIEL,434,2026-05-12
ART015,DEP_VERNOUILLET,466,2024-09-20
ART077,DEP_OUEST,213,2024-07-29
ART041,DEP_OUEST,652,2024-08-18
ART019,DEP_GRAULHET,798,2025-04-28
ART001,DEP_GRIGNY,45,2024-10-14
ART080,DEP_AVIGNON,680,2024-10-25
ART014,DEP_GRAULHET,557,2025-11-18
ART013,DEP_VERNOUILLET,23,2025-03-24
ART076,DEP_GRIGNY,527,2024-12-05
ART052,DEP_AVIGNON,729,2026-04-02
ART008,DEP_LIMAY,281,2025-06-01
ART018,DEP_AVIGNON,400,2026-03-19
ART095,DEP_CIEL,244,2026-02-07
ART006,DEP_GRAULHET,561,2025-11-27
ART022,DEP_OUEST,337,2025-11-13
ART016,DEP_GRAULHET,83,2025-10-03
ART069,DEP_VERNOUILLET,508,2026-03-21
ART033,DEP_VERNOUILLET,127,2024-09-12
ART075,DEP_NORD,34,2025-01-04
ART054,DEP_CIEL,244,2024-07-21
ART053,DEP_GRIGNY,615,2025-09-20
ART031,DEP_LIMAY,537,2024-08-02
ART029,DEP_CIEL,26,2024-06-30
ART073,DEP_OUEST,545,2025-01-18
ART002,DEP_GRAULHET,388,2025-06-12
ART001,DEP_GRIGNY,299,2025-04-22
ART029,DEP_NORD,734,2025-11-25
ART080,DEP_CIEL,379,2025-09-20
ART083,DEP_AVIGNON,283,2025-12-07
ART059,DEP_OUEST,235,2026-02-17
ART057,DEP_VERNOUILLET,97,2024-09-06
ART098,DEP_OUEST,583,2024-11-01
ART026,DEP_LIMAY,432,2024-07-03
ART018,DEP_AVIGNON,203,2025-03-03
ART043,DEP_VERNOUILLET,694,2026-04-19
ART069,DEP_CIEL,448,2025-07-03
ART001,DEP_AVIGNON,73,2025-09-09
ART005,DEP_GRAULHET,305,2024-12-29
ART051,DEP_AVIGNON,414,2026-04-16
ART006,DEP_GRIGNY,439,2025-02-24
ART093,DEP_GRIGNY,285,2024-12-16
ART077,DEP_GRIGNY,629,2025-01-09
ART040,DEP_GRAULHET,39,2025-10-19
ART053,DEP_NORD,585,2026-01-05
ART001,DEP_CIEL,361,2026-01-26
ART026,DEP_LIMAY,592,2025-02-26
ART098,DEP_GRIGNY,746,2026-04-22
ART051,DEP_LIMAY,389,2025-12-16
ART030,DEP_GRIGNY,329,2025-06-16
ART045,DEP_VERNOUILLET,621,2025-03-19
ART023,DEP_CIEL,25,2025-02-15
ART032,DEP_CIEL,331,2025-05-11
ART088,DEP_CIEL,782,2025-07-02
ART005,DEP_LIMAY,555,2025-01-05
ART083,DEP_OUEST,108,2025-12-08
ART093,DEP_GRAULHET,419,2026-02-10
ART024,DEP_AVIGNON,178,2025-02-01
ART078,DEP_GRAULHET,268,2025-12-29
ART010,DEP_OUEST,93,2025-12-27
ART010,DEP_LIMAY,514,2025-12-21
