code_article,depot,quantite_stock,date_maj
ART027,DEP_VERNOUILLET,341,2019-01-01 00:00:00
ART038,DEP_OUEST,403,2026-01-21
ART092,DEP_OUEST,666,2025-09-08
ART052,DEP_OUEST,763,2025-05-28
ART064,DEP_VERNOUILLET,207,2024-06-18
ART054,DEP_OUEST,748,2019-01-01 00:00:00
ART030,DEP_CIEL,696,2026-01-29
ART060,DEP_VERNOUILLET,323,2025-11-27
ART019,DEP_LIMAY,479,2025-05-26
ART062,DEP_GRAULHET,709,2026-03-14
ART068,DEP_CIEL,541,2024-11-25
ART005,DEP_GRAULHET,227,2026-01-17
ART098,DEP_VERNOUILLET,499,2024-12-21
ART015,DEP_OUEST,187,2025-08-16
ART025,DEP_GRAULHET,437,2026-03-06
ART015,DEP_NORD,652,2026-05-22
ART025,DEP_CIEL,519,2026-05-15
ART022,DEP_GRAULHET,770,2025-04-03
ART015,DEP_GRIGNY,137,2026-01-25
ART043,DEP_NORD,367,2026-05-02
ART022,DEP_LIMAY,188,2026-03-19
ART083,DEP_GRAULHET,300,2025-05-27
ART038,DEP_GRAULHET,464,2024-09-19
ART090,DEP_GRAULHET,-372,2025-11-05
ART033,DEP_AVIGNON,82,2025-07-17
ART017,DEP_VERNOUILLET,59,2024-10-10
ART023,DEP_VERNOUILLET,736,2026-01-01
ART054,DEP_GRIGNY,328,2025-06-14
ART098,DEP_GRIGNY,784,2025-01-15
ART059,DEP_NORD,319,2024-12-22
ART036,DEP_VERNOUILLET,457,2019-01-01 00:00:00
ART013,DEP_GRAULHET,4,2024-08-03
ART029,DEP_GRAULHET,84,2025-03-27
ART047,DEP_AVIGNON,499,2025-10-01
ART063,DEP_GRIGNY,327,2025-09-06
ART034,DEP_CIEL,224,2026-01-27
ART999,DEP_VERNOUILLET,548,2025-03-20
ART042,DEP_OUEST,100,2026-03-04
ART092,DEP_NORD,471,2024-07-05
ART018,DEP_GRAULHET,245,2025-06-30
ART038,DEP_CIEL,325,2025-10-26
ART020,DEP_CIEL,574,2024-11-13
ART042,DEP_VERNOUILLET,395,2026-01-16
ART009,DEP_AVIGNON,645,2024-06-29
ART057,DEP_NORD,297,2019-01-01 00:00:00
ART079,DEP_OUEST,729,2024-07-20
ART019,DEP_LIMAY,683,2024-10-05
ART094,DEP_OUEST,558,2025-08-17
ART100,DEP_GRAULHET,110,2026-03-10
ART061,DEP_GRIGNY,672,2019-01-01 00:00:00
ART003,DEP_GRIGNY,710,2025-08-07
ART030,DEP_GRIGNY,226,2024-07-27
ART065,DEP_VERNOUILLET,297,2025-04-10
ART050,DEP_GRAULHET,672,2025-03-05
ART079,DEP_OUEST,165,2024-11-24
ART083,DEP_AVIGNON,40,2025-05-12
ART014,DEP_GRAULHET,723,2025-07-23
ART097,DEP_AVIGNON,310,2025-04-12
ART009,DEP_GRAULHET,701,2025-03-08
ART055,DEP_OUEST,334,2026-03-21
ART063,DEP_CIEL,4,2024-07-13
ART073,DEP_LIMAY,533,2024-11-15
ART071,DEP_GRIGNY,748,2026-04-27
ART007,DEP_CIEL,274,2025-03-25
ART086,DEP_GRIGNY,135,2019-01-01 00:00:00
ART067,DEP_CIEL,239,2026-05-26
ART069,DEP_GRIGNY,776,2025-12-11
ART005,DEP_LIMAY,114,2024-06-07
ART029,DEP_CIEL,23,2025-08-28
ART035,DEP_CIEL,762,2025-06-16
ART076,DEP_VERNOUILLET,121,2024-11-13
ART009,DEP_LIMAY,601,2025-01-12
ART099,DEP_VERNOUILLET,147,2024-06-07
ART036,DEP_LIMAY,252,2024-11-22
ART078,DEP_VERNOUILLET,550,2026-03-09
ART042,DEP_OUEST,41,2025-01-17
ART029,DEP_OUEST,247,2025-12-23
ART076,DEP_GRAULHET,-403,2024-06-18
ART027,DEP_LIMAY,266,2025-02-26
ART065,DEP_OUEST,75,2019-01-01 00:00:00
ART077,DEP_CIEL,110,2026-06-07
ART024,DEP_AVIGNON,134,2025-11-16
ART061,DEP_CIEL,513,2025-04-14
ART094,DEP_AVIGNON,424,2026-04-24
ART037,DEP_VERNOUILLET,119,2024-11-27
ART077,DEP_GRAULHET,794,2025-07-12
ART097,DEP_OUEST,579,2026-02-28
ART087,DEP_NORD,15,2026-04-19
ART007,DEP_CIEL,406,2025-02-02
ART999,DEP_AVIGNON,416,2024-10-14
ART085,DEP_LIMAY,782,2025-02-11
ART021,DEP_CIEL,210,2025-05-06
ART011,DEP_LIMAY,203,2025-07-24
ART068,DEP_NORD,343,2025-01-24
ART085,DEP_NORD,45,2026-02-28
ART003,dep_grigny,509,2024-07-13
ART014,DEP_GRAULHET,705,2025-05-04
ART078,DEP_GRIGNY,149,2025-09-09
ART057,DEP_GRIGNY,323,2025-01-27
ART999,DEP_CIEL,422,2024-11-22
ART005,DEP_LIMAY,501,2025-06-15
ART093,DEP_GRAULHET,709,2026-01-12
ART022,DEP_VERNOUILLET,318,2019-01-01 00:00:00
ART044,DEP_GRAULHET,223,2025-05-22
ART004,DEP_VERNOUILLET,181,2026-05-09
ART043,DEP_VERNOUILLET,143,2026-05-19
ART063,DEP_CIEL,298,2026-03-11
ART047,DEP_OUEST,322,2025-06-25
ART069,DEP_NORD,748,2026-01-27
ART019,DEP_GRIGNY,578,2026-04-10
ART008,DEP_AVIGNON,507,2025-04-13
ART017,DEP_LIMAY,651,2025-09-08
ART004,DEP_NORD,211,2025-12-01
ART012,dep_grigny,697,2025-08-13
ART022,DEP_NORD,39,2025-02-07
ART036,DEP_NORD,560,2025-04-02
ART057,DEP_LIMAY,396,2025-11-25
ART008,DEP_NORD,418,2025-07-29
ART017,DEP_GRIGNY,116,2025-04-21
ART069,DEP_CIEL,793,2025-10-12
ART055,DEP_OUEST,220,2025-03-17
ART096,DEP_GRIGNY,154,2026-01-19
ART082,DEP_VERNOUILLET,533,2025-10-12
ART015,DEP_CIEL,465,2024-09-04
ART008,DEP_NORD,284,2025-03-27
ART059,DEP_GRAULHET,171,2026-04-07
ART060,DEP_LIMAY,771,2024-07-31
ART024,DEP_GRIGNY,344,2025-01-22
ART087,DEP_OUEST,288,2024-06-20
ART059,DEP_OUEST,73,2025-12-07
ART086,DEP_OUEST,71,2024-08-12
ART083,DEP_CIEL,336,2026-04-14
ART045,DEP_CIEL,399,2025-03-04
ART012,DEP_OUEST,742,2024-06-29
ART071,DEP_AVIGNON,431,2025-08-09
ART026,DEP_VERNOUILLET,412,2024-11-22
ART063,DEP_GRAULHET,309,2025-05-26
ART008,DEP_OUEST,538,2024-12-20
ART073,DEP_LIMAY,9,2025-04-24
ART083,DEP_LIMAY,217,2025-02-19
ART081,DEP_GRAULHET,671,2025-11-13
ART063,DEP_GRIGNY,-232,2025-01-22
ART087,DEP_VERNOUILLET,731,2025-04-10
ART086,DEP_LIMAY,356,2025-08-18
ART011,DEP_CIEL,50,2025-10-12
ART001,DEP_OUEST,750,2025-07-02
ART052,DEP_CIEL,455,2024-07-17
ART051,DEP_GRIGNY,655,2026-04-03
ART004,DEP_VERNOUILLET,614,2025-04-20
ART005,DEP_GRIGNY,289,2025-06-24
ART021,DEP_NORD,471,2024-10-01
ART075,DEP_LIMAY,19,2024-07-23
ART069,DEP_OUEST,125,2026-05-31
ART013,DEP_CIEL,660,2024-08-03
ART003,DEP_VERNOUILLET,510,2025-11-29
ART002,DEP_AVIGNON,402,2025-02-19
ART070,DEP_LIMAY,95,2026-06-07
ART066,DEP_CIEL,581,2026-03-12
ART015,DEP_GRAULHET,791,2025-03-10
ART024,DEP_OUEST,764,2024-07-30
ART094,DEP_AVIGNON,578,2025-04-05
ART008,DEP_GRIGNY,235,2024-10-13
ART019,DEP_AVIGNON,48,2025-01-03
ART078,DEP_CIEL,38,2024-12-16
ART080,DEP_OUEST,82,2025-07-10
ART045,DEP_VERNOUILLET,443,2026-05-05
ART010,DEP_GRIGNY,454,2019-01-01 00:00:00
ART024,DEP_CIEL,137,2025-05-18
ART083,DEP_OUEST,494,2026-02-26
ART094,DEP_LIMAY,139,2025-11-12
ART010,DEP_LIMAY,325,2024-10-25
ART042,DEP_LIMAY,454,2025-04-18
ART047,DEP_GRIGNY,23,2025-02-08
ART083,DEP_CIEL,169,2025-06-05
ART072,DEP_GRIGNY,287,2025-07-05
ART004,DEP_CIEL,694,2025-05-25
ART027,DEP_AVIGNON,677,2026-02-14
ART999,DEP_AVIGNON,500,2025-06-10
ART066,DEP_NORD,178,2025-09-11
ART029,DEP_VERNOUILLET,636,2024-07-05
ART086,DEP_OUEST,80,2025-12-18
ART052,DEP_LIMAY,455,2025-08-26
ART030,DEP_NORD,594,2025-09-08
ART072,DEP_NORD,45,2025-05-31
ART026,DEP_AVIGNON,419,2025-09-20
ART042,DEP_CIEL,212,2025-11-04
ART052,DEP_GRAULHET,402,2025-09-22
ART067,DEP_GRAULHET,439,2024-10-08
ART060,DEP_CIEL,-377,2026-06-07
ART082,DEP_OUEST,598,2026-03-11
ART007,DEP_VERNOUILLET,43,2025-02-13
ART061,DEP_CIEL,660,2025-11-19
ART094,DEP_CIEL,216,2025-01-08
ART039,DEP_GRAULHET,419,2024-12-28
ART027,DEP_OUEST,346,2026-04-10
ART051,DEP_LIMAY,212,2026-03-12
ART061,DEP_GRIGNY,39,2026-04-15
ART078,dep_limay,523,2025-01-15
ART065,DEP_LIMAY,322,2025-08-31
ART035,DEP_LIMAY,756,2025-06-07
ART098,DEP_LIMAY,588,2026-06-02
ART041,DEP_AVIGNON,432,2026-05-15
ART084,DEP_GRIGNY,600,2026-03-23
ART008,DEP_GRAULHET,397,2024-06-13
ART078,DEP_LIMAY,734,2025-09-11
ART026,DEP_GRIGNY,654,2025-03-17
ART030,DEP_GRAULHET,765,2026-02-26
ART064,DEP_GRAULHET,514,2026-04-30
ART041,DEP_LIMAY,476,2025-12-31
ART100,DEP_NORD,526,2024-10-06
ART059,DEP_AVIGNON,12,2024-07-08
ART055,DEP_LIMAY,24,2026-04-06
ART086,DEP_VERNOUILLET,541,2025-04-15
ART093,DEP_CIEL,101,2025-07-08
ART077,DEP_GRAULHET,-508,2025-12-14
ART043,DEP_LIMAY,260,2025-09-24
ART053,DEP_GRAULHET,678,2025-08-07
ART075,DEP_AVIGNON,557,2019-01-01 00:00:00
ART052,DEP_AVIGNON,610,2025-07-30
ART028,DEP_LIMAY,143,2024-09-16
ART064,DEP_GRAULHET,44,2025-12-06
ART012,DEP_NORD,20,2025-02-18
ART003,DEP_OUEST,678,2025-08-28
ART073,DEP_OUEST,41,2026-01-21
ART013,DEP_LIMAY,726,2025-03-12
ART004,DEP_GRIGNY,387,2025-10-16
ART046,DEP_AVIGNON,597,2024-10-05
ART015,DEP_GRAULHET,194,2024-12-14
ART017,DEP_OUEST,0,2026-04-10
ART027,DEP_GRIGNY,65,2025-12-26
ART013,DEP_LIMAY,30,2024-09-13
